"1","1","[{""situation"":1,""level"":4,""description"":""准妈妈很适合吃包子，包子皮是发面食品，富含B族维生素，而且很容易消化。包子搭配了多种蔬菜和肉类，能够为准妈妈提供各种营养。""},{""situation"":2,""level"":4,""description"":""坐月子能吃包子，包子皮是发面食品，比较容易消化，适合月子期间食用。""},{""situation"":3,""level"":4,""description"":""一般情况下，包子都会同时搭配多种蔬菜和肉类，能够做到基本的膳食平衡，适合哺乳妈妈。""},{""situation"":4,""level"":4,""description"":""包子可以通过改变面皮和馅料，做出很多花样来，促排期间和移植后吃包子改善饮食搭配，为人体提供各种营养，所以试管期间是可以吃包子的！""}]",,"17/12/2018 18:21:52"
"2","2","[{""situation"":1,""level"":4,""description"":""孕妇能吃面包。面包含有蛋白质，脂肪，碳水化合物，少量维生素及钾，钙，镁锌等矿物质，易于消化，吸收，食用方便。不过应该尽量避免选择松质面包，即所谓的丹麦面包或起酥面包，因为其中含有不利于胎儿心脏和神经发育的“反式脂肪酸”。""},{""situation"":2,""level"":4,""description"":""坐月子期间的主食可以选择馒头，米饭，面条，饺子等，面包和蛋糕可以做为辅食吃，月子期间需要多吃汤类的食物如通草鲫鱼汤，通草猪蹄汤等，排骨汤等食物利于下奶。""},{""situation"":3,""level"":4,""description"":""哺乳妈妈可以吃面包，但不建议吃太多奶油，因为容易导致消化不良和腹泻。""},{""situation"":4,""level"":4,""description"":""面包含有蛋白质，脂肪，碳水化合物，促排期间多吃含蛋白质的东西，移植后尽量吃易消化的食物，面包少量维生素及钾，钙，镁锌等矿物质，易于消化，吸收，食用方便，所以试管期间是可以食用面包的！""}]",,"17/12/2018 18:21:52"
"3","3","[{""situation"":1,""level"":4,""description"":""红豆营养丰富，具有多方面的健康作用，准妈适量食用可以缓解水肿，提高机体免疫力，还能预防孕期贫血，红豆可与大米、小米、高粱米等煮粥做饭。""},{""situation"":2,""level"":4,""description"":""红豆有消胀满、通乳汁的功效，对于气血壅滞引起的乳房胀痛、乳汁不下的月子妈妈，可每天早晚各用红小豆120克煮粥，连吃3-5天即可。""},{""situation"":3,""level"":4,""description"":""红豆一方面可以滋阴补血，另一方面可以促进乳汁分泌。对于气血壅滞引起的乳房胀痛、乳汁不下的哺乳妈妈，可每天早晚各用红小豆120克煮粥，连吃3-5天即可。""},{""situation"":4,""level"":4,""description"":""红豆含有多种无机盐和微量元素，如钾、钙、镁、铁、铜、锰、锌等，促排期间和移植后都能为人体提供营养，不过一定要煮烂，不然不利于消化，所以试管期间是可以食用红豆的！""}]",,"17/12/2018 18:21:52"
"4","4","[{""situation"":1,""level"":4,""description"":""芡实是秋季滋补的理想食材，自古作为保持青春、抗衰老之物。推荐食用淮山芡实粥。这款粥有补益脾胃、养心安神的功效，对准妈妈心悸、失眠多梦、面色萎黄、记忆力减退、注意力不集中等症有显著效果。但芡实具有收敛性，便秘、尿赤者需忌食。""},{""situation"":2,""level"":3,""description"":""芡实营养丰富，维生素和矿物质的含量较高，且易吸收，但是芡实有较强的收涩作用，不利于恶露排除和伤口愈合，影响产后身体复原，便秘、尿赤者及产妇皆不宜食用。""},{""situation"":3,""level"":4,""description"":""哺乳妈妈能够吃芡实。推荐哺乳妈妈吃淮山芡实粥，这款粥有补益脾胃、养心安神的功效。""},{""situation"":4,""level"":3,""description"":""芡实中含有丰富的钙钾磷镁等营养物质，攒批期间可以食用；但芡实不易消化，一定要煮烂食用，一次也不宜吃太多，便秘、尿赤者需忌食推荐山药芡实羹，所以移植后最好不要食用芡实！""}]",,"17/12/2018 18:21:52"
"5","5","[{""situation"":1,""level"":4,""description"":""西米几乎是纯淀粉，准妈妈可以偶尔作为甜食配料食用，但不能多吃，更不宜替代其他粮食当成日常主食。此外，市售西米露等冷冻加色素的食物准妈妈慎食，西米所做甜食的升血糖指数很高，糖尿病患者忌食。""},{""situation"":2,""level"":4,""description"":""月子期间可以食用，有健胃补脾、润肺化痰、明目亮发的作用，十分适宜体虚、产后病后、体乏者以及肺病患者食用。另外西米还有润泽肌肤的功效，是美肤的佳品。但不能多吃。西米露等冷冻加色素的食物月子里更要慎食。""},{""situation"":3,""level"":4,""description"":""哺乳妈妈可以吃西米，但不能多吃。西米中的淀粉可以为人体提供能量，还有使皮肤恢复天然润泽的功能，但是西米的主要成分为淀粉，基本不含维生素，矿物质和蛋白质等营养成分，哺乳期要注意营养需全面，保证能够摄入足够的营养素。""},{""situation"":4,""level"":3,""description"":""西米可以偶尔作为甜食配料食用，但不能多吃，促排期间和移植后都可食用只是不宜过多！""}]",,"17/12/2018 18:21:52"
"6","6","[{""situation"":1,""level"":4,""description"":""籼米富含蛋白质、维生素、矿物质等营养元素，具有健脾养胃、和五脏通血脉、止渴止泄的功效，对于准妈妈来说是易消化的营养口粮，煮成粥食用可调养身体。""},{""situation"":2,""level"":4,""description"":""妈妈产后食用籼米粥，对虚弱的身体来说是一种滋补，能够起到补中益气、健脾养胃的功效，而且籼米容易消化，有调理肠胃的作用，适合产妇食用。""},{""situation"":3,""level"":4,""description"":""籼米中富含维生素B族，米粥具有补脾、和胃、清肺功效；米汤有益气、养阴、润燥的功能，能刺激胃液的分泌，有助于消化，并对脂肪的吸收有促进作用。哺乳期妈妈可将籼米煮成稀粥食用，也可煮熟后用于制作萝卜糕、米粉、炒饭食用。""},{""situation"":4,""level"":4,""description"":""能吃，籼米中富含维生素B族，米粥具有补脾、和胃、清肺功效；米汤有益气、养阴、润燥的功能，能刺激胃液的分泌，有助于消化，并对脂肪的吸收有促进作用，促排和试管期间都可食用！""}]",,"17/12/2018 18:21:52"
"7","7","[{""situation"":1,""level"":1,""description"":""准妈妈不能吃醪糟，醪糟中的酒精会直接使胎儿受到毒害，使胎儿大脑细胞的分裂受到阻碍，导致脑子发育不全，并造成中枢神经系统发育障碍。""},{""situation"":2,""level"":4,""description"":""月子里可以适当吃醪糟。醪糟富含碳水化合物、蛋白质、B族维生素、矿物质等，这些都是人体不可缺少的营养成分。醪糟里含有少量的酒精，而酒精可以促进血液循环，有助消化及增进食欲的功能。醪糟对月子妈妈还有催乳作用。""},{""situation"":3,""level"":4,""description"":""醪糟有催奶的作用，哺乳妈妈适当吃醪糟是可以的，但里面还含有一定的酒精成分，建议哺乳妈妈不要过量食用。""},{""situation"":4,""level"":1,""description"":""醪糟含有酒精，会影响宝宝的大脑发育，所以最好别给宝宝吃醪糟。""}]",,"17/12/2018 18:21:52"
"8","8","[{""situation"":1,""level"":4,""description"":""小麦麸皮营养价值很高，含有相当丰富的维生素E和B族维生素，对孕妈的健康颇有益处。""},{""situation"":2,""level"":4,""description"":""小麦麸皮营养价值很高，对健康有积极促进作用，还可以改善产后便秘，产妇可以适量食用。""},{""situation"":3,""level"":4,""description"":""哺乳中的妈妈可以适量食用麸皮，能促进肠蠕动，缓解便秘。""},{""situation"":4,""level"":4,""description"":""促排期间使用麸皮有利于吸收多种维生素，移植后食用麸皮有毅力减缓便秘，所以试管期间是可以使用麸皮的！""}]",,"17/12/2018 18:21:53"
"9","9","[{""situation"":1,""level"":1,""description"":""葛根粉性凉，准妈妈吃多了容易造成流产，对胎儿不利。""},{""situation"":2,""level"":1,""description"":""葛根粉性凉，产妇在坐月子期间要避免吃凉性的食物，不利于身体恢复。""},{""situation"":3,""level"":1,""description"":""葛根粉性凉，哺乳期的妈妈尽量不要吃。凉性的食物会给妈妈的肠胃造成不适，也影响身体恢复，此外还会通过乳汁影响宝宝，让宝宝出现腹泻等症状。""},{""situation"":4,""level"":1,""description"":""葛根粉能清火泻痢，婴幼儿还是少吃比较好，容易引发腹泻。""}]",,"17/12/2018 18:21:53"
"10","10","[{""situation"":1,""level"":1,""description"":""大麦芽煮汤具有催生的作用，会导致胎儿流产、早产,因此，怀孕期间应禁食大麦。""},{""situation"":2,""level"":1,""description"":""月子期间不能吃大麦芽，大麦芽有回奶的作用，如果不想后面哺乳时宝宝没有口粮还是最好不要吃大麦。""},{""situation"":3,""level"":1,""description"":""哺乳期间的妇女忌食大麦芽，否则会减少乳汁分泌。如果妈妈想断奶时，可用大麦苗（又叫大麦芽）煮汤服用。""},{""situation"":4,""level"":4,""description"":""大麦富含B族维生素和膳食纤维，还有提高免疫力和健脑的作用，促排期间可以少用；但要大麦芽煮汤具有催生的作用，不利于胚胎着床，所以不要食用！""}]",,"17/12/2018 18:21:53"
