剧名,演出场所,演出时间,imgurl,projectid,信息属性,副标题,地点城市,最低票价,最高票价,标题,演出状态,演出类型
《圆梦恐龙岛》,武汉琴台大剧院,2019.01.27 19:30,,,,,,,,,,
《灰姑娘》,武汉琴台大剧院,2019.01.03-01.04,,,,,,,,,,
《故宫里的小不点》,武汉琴台大剧院,2019.01.15 19:30,,,,,,,,,,
《爱丽丝梦游仙境》,荟聚购物中心外广场南大门G区停车场,2018.10.01-2019.01.20,,,,,,,,,,
《欢乐颂》,汤湖戏院,2019.01.04,,,,,,,,,,
《海底捞月》,武汉琴台大剧院,2018.12.29-2019.02.19,,,,,,,,,,
《故宫里的小不点》,武汉琴台大剧院,2019.01.16,,,,,,,,,,
,禾空间小剧场,2018.10.01-2019.02.28,1648,164857.0,0.0,多部儿童剧,武汉,199.0,199.0,禾空间儿童剧嘉年华十次卡演出票,售票中,儿童剧
《维小鲸历险记之乘风破浪》,禾空间小剧场,2018.12.30-2019.01.05,1650,165097.0,0.0,虎鲸偷偷跟上了这艘神秘大船，开启了它的海洋历险。,武汉,49.0,59.0,禾空间儿童剧嘉年华《维小鲸历险记之乘风破浪》,售票中,儿童剧
《大头爸爸和小头儿子》,禾空间小剧场,2018.12.12-2019.01.06,1648,164860.0,0.0,在奇幻森林的南边，有一个奇幻小镇。发生了意想不到的事情,武汉,49.0,59.0,禾空间嘉年华儿童剧《大头爸爸和小头儿子》,售票中,儿童剧
《神奇动物在这里》,禾空间小剧场,2018.12.23-2019.01.13,1678,167809.0,0.0,本剧由《格林童话》中《金鸟》、《牧鹅女》、《金鹅》三个故事略加改编而成,武汉,59.0,69.0,禾空间原创亲子互动剧《神奇动物在这里》,售票中,儿童剧
《熊猫飞飞历险记2之安徒生童话城堡的迷宫》,禾空间小剧场,2019.01.01-01.12,1688,168875.0,0.0,熊猫飞飞一个人踏上了寻找金禾的旅程。,武汉,59.0,69.0,禾空间首部原创IP人偶儿童剧《熊猫飞飞历险记2之安徒生童话城堡的迷宫》,售票中,儿童剧
《恐龙王国》,禾空间小剧场,2019.01.06,1707,170700.0,0.0,一个好题材，一个好故事,武汉,80.0,100.0,大型系列儿童剧《恐龙王国》之《恐龙王国之南极之旅》,售票中,儿童剧
《goodbye旅行社之黑白先生》,禾空间小剧场,2018.12.29-2019.01.26,1688,168874.0,0.0,如果一黑一白两个人，非要请你去他们的地盘旅游，你敢去吗？,武汉,60.0,100.0,禾空间小剧场原创惊悚爆笑舞台剧——《goodbye旅行社之黑白先生》,售票中,话剧
《白雪公主》,珞珈山剧院,2019.01.06,1698,169845.0,0.0,根据《格林童话》经典故事改编了《白雪公主》这部儿童剧。,武汉,39.0,79.0,武汉·2019年1月大型儿童剧《白雪公主》,售票中,儿童剧
《杏仁豆腐心》,403国际艺术中心·红椅剧场,2019.01.05-01.06,1707,170709.0,0.0,《杏仁豆腐心》不是年轻情侣间的撕X大戏，而是想借助两颗灵魂的孤独唏嘘，找回我们原本柔软而温暖的内心。,武汉,80.0,280.0,有趣戏剧第四回 话剧《杏仁豆腐心》武汉站,售票中,话剧
《匹诺曹》,武汉工人文化宫职工剧场,2019.06.15  10:30/15:00,1710,171025.0,0.0,经典成长童话《匹诺曹》将给观众带来感动与趣味。,武汉,50.0,260.0,经典成长童话《匹诺曹》--武汉站,售票中,儿童剧
《灰姑娘》,武汉工人文化宫职工剧场,2019.07.06 10:30/15:00,1711,171179.0,0.0,王子能否找到舞会上的灰姑娘？美丽的童话将在今夜绽放！,武汉,50.0,260.0,浪漫经典童话剧《灰姑娘》--武汉站,售票中,儿童剧
